Tijdstempel,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,I have used ChatGPT to help me with some of my study assignments ,When is your birthday (date)?,age,How many students do you estimate there are in the room?,Did you stand up to come to your previous answer    ?,What is your stress level (0-100)?,How many hours per week do you do sports (in whole hours)? ,Give a random number,Time you went to bed Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?
2023-04-04 12:10:13.522,CS,0.0,0.0,1.0,1.0,1,0,1999-03-31,24.0,500.0,0.0,90.0,8.0,24,00:00,Good weather,No assigment
2023-04-04 12:10:14.488,CS,0.0,0.0,1.0,1.0,2,1,,24.0,200.0,0.0,30.0,8.0,27,23:30,sunny days,good meals
2023-04-04 12:10:15.376,CS,1.0,0.0,1.0,0.0,2,0,1998-12-18,24.0,400.0,0.0,10.0,4.0,25,02:00,Slept well,Food 
2023-04-04 12:10:16.574,Finance,1.0,1.0,1.0,1.0,1,8,1998-02-17,25.0,400.0,0.0,80.0,3.0,11,00:00,Friends,Family
2023-04-04 12:10:17.113,AI,1.0,1.0,1.0,0.0,2,1,1999-08-22,23.0,400.0,0.0,80.0,6.0,69,22:30,A sunny day ,If I had a nice workout 
2023-04-04 12:10:17.590,AI,0.0,1.0,1.0,0.0,2,1,1998-09-28,24.0,500.0,0.0,50.0,4.0,56,23:30,Sunny,Good food 
2023-04-04 12:10:18.395,CS,1.0,1.0,1.0,1.0,1,1,2001-07-05,21.0,300.0,0.0,50.0,6.0,10,06:00,Feeling productive,Exercised
2023-04-04 12:10:21.433,AI,1.0,1.0,1.0,1.0,2,1,1999-03-12,24.0,350.0,0.0,40.0,8.0,9,23:30,Good food,Nice people
2023-04-04 12:10:26.672,,1.0,1.0,1.0,1.0,2,1,1997-12-14,25.0,400.0,0.0,90.0,4.0,3,01:00,No obligations,Being outside in the sun
2023-04-04 12:10:31.796,CS,1.0,0.0,1.0,1.0,2,1,2001-10-31,21.0,300.0,0.0,64.0,2.0,2,4 :00,good morning routine,sunny weather
2023-04-04 12:10:34.539,Comp Sci,1.0,0.0,1.0,1.0,2,1,2001-01-10,22.0,270.0,0.0,39.0,10.0,987654321123456000,,Family!,Friends!
2023-04-04 12:10:36.031,AI,1.0,1.0,1.0,0.0,2,0,,24.0,180.0,0.0,25.0,5.0,66,23:30,Good weather ,Cats 
2023-04-04 12:10:36.460,CS,1.0,0.0,1.0,0.0,1,1,1996-04-24,26.0,230.0,0.0,15.0,12.0,99,01:00,food,sex
2023-04-04 12:10:37.990,CS,1.0,0.0,1.0,0.0,7,1,1999-08-08,23.0,500.0,0.0,30.0,4.0,3,00:00,bread,coffee
2023-04-04 12:10:38.254,Human Language Tech,1.0,0.0,0.0,0.0,2,8,1994-06-18,28.0,400.0,0.0,55.0,4.0,4,00:30,coffee,good sleep
2023-04-04 12:10:38.729,AI,0.0,0.0,1.0,0.0,1,1,1998-09-19,24.0,100.0,0.0,10.0,0.0,23,00:00,Sticking to my timetable ,Eating good food 
2023-04-04 12:10:40.081,CS,1.0,1.0,1.0,1.0,2,8,2000-09-08,22.0,520.0,0.0,70.0,4.0,999,00:00,The sun ,Chill in nature
2023-04-04 12:10:41.017,CS,1.0,0.0,1.0,0.0,2,1,1998-04-17,24.0,550.0,0.0,0.0,3.0,43,00:30,Working out,No class
2023-04-04 12:10:41.507,CS,1.0,0.0,1.0,1.0,1,1,2000-11-02,22.0,200.0,0.0,30.0,7.0,Random number,02:00,Nice weather,Kindness
2023-04-04 12:10:41.862,CS,1.0,0.0,1.0,0.0,1,1,1998-09-06,24.0,75.0,0.0,55.0,5.0,6,00:00,Good results,Prodictivity
2023-04-04 12:10:43.209,CS,1.0,0.0,1.0,1.0,1,8,2000-02-28,23.0,300.0,0.0,30.0,5.0,69,00:00,coffee,sunset
2023-04-04 12:10:44.747,Finance,1.0,0.0,1.0,0.0,1,1,1998-03-30,25.0,200.0,0.0,50.0,7.0,42,00:30,Sunny weather,No class
2023-04-04 12:10:44.894,CS,0.0,0.0,1.0,1.0,2,8,1998-06-12,24.0,300.0,0.0,99.0,5.0,22,1 :40,Good food,Biking
2023-04-04 12:10:44.938,CS,1.0,0.0,1.0,1.0,2,1,1999-01-16,24.0,400.0,0.0,65.0,3.0,4,22:00,Nice weather,Friends
2023-04-04 12:10:45.347,CS,1.0,0.0,1.0,0.0,2,1,1996-04-22,26.0,581.0,0.0,100.0,3.0,22,01:00,No class,No exam
2023-04-04 12:10:46.302,AI,0.0,0.0,1.0,0.0,2,1,1999-08-12,23.0,120.0,0.0,30.0,5.0,35,02:00,Good breakfast,Good workout
2023-04-04 12:10:46.606,Finance,1.0,1.0,1.0,0.0,5,0,,24.0,400.0,0.0,20.0,5.0,29,02:00,A day where I went to the gym,A productive day study-wise
2023-04-04 12:10:48.354,Finance,1.0,0.0,0.0,0.0,1,0,1997-06-02,25.0,200.0,0.0,10.0,0.0,7,01:00,Food,Sun
2023-04-04 12:10:48.481,CLS,0.0,0.0,1.0,0.0,1,1,1999-05-28,23.0,300.0,0.0,35.0,3.0,6,0 :15,Vacation,Company
2023-04-04 12:10:48.605,Human Language Tech,1.0,0.0,1.0,0.0,2,0,2000-12-28,22.0,500.0,0.0,17.0,2.0,22,02:00,Good weather,Free time
2023-04-04 12:10:49.096,AI,1.0,0.0,1.0,1.0,2,8,1998-03-31,25.0,222.0,0.0,98.0,0.0,5,5 :30,eat well,sleep well
2023-04-04 12:10:49.623,Comp Sci,1.0,1.0,1.0,1.0,2,8,1999-05-02,23.0,300.0,0.0,70.0,1.0,69,00:00,Coffee,Friends
2023-04-04 12:10:49.891,Human Language Tech,1.0,0.0,1.0,0.0,2,1,2000-11-06,22.0,200.0,0.0,10.0,2.0,5,00:00,good weather ,friends
2023-04-04 12:10:50.151,Finance,1.0,1.0,1.0,0.0,1,0,2000-06-02,22.0,350.0,0.0,0.0,4.0,6,22:00,food,sleep
2023-04-04 12:10:50.736,BA,1.0,0.0,1.0,0.0,2,1,,22.0,150.0,0.0,15.0,5.0,8,00:30,Sun,Good night of sleep
2023-04-04 12:10:51.332,AI,0.0,0.0,1.0,0.0,2,1,2000-02-19,23.0,350.0,0.0,70.0,1.0,28,00:30,Good meal,Sun
2023-04-04 12:10:51.828,CS,1.0,0.0,1.0,0.0,1,0,1997-08-07,25.0,300.0,0.0,50.0,4.0,3,01:00,Music,Food
2023-04-04 12:10:53.064,CS,1.0,0.0,1.0,1.0,2,1,1997-05-01,25.0,580.0,0.0,60.0,1.0,8,00:00,Sun,Good food
2023-04-04 12:10:53.123,AI,0.0,0.0,1.0,0.0,2,1,,23.0,300.0,0.0,50.0,1.0,99,23:30,Nice weather,Nice meal and coffee
2023-04-04 12:10:53.326,CS,1.0,1.0,1.0,1.0,1,1,2001-07-08,21.0,100.0,0.0,40.0,7.0,6,00:30,Good food ,Sun
2023-04-04 12:10:53.723,AI,1.0,0.0,1.0,1.0,2,0,1997-06-17,25.0,285.0,0.0,22.0,0.0,65435798764476555,23:00,No lecture,Sun
2023-04-04 12:10:54.804,AI,0.0,0.0,1.0,1.0,1,0,,26.0,400.0,0.0,5.0,10.0,7556544,23:30,Holiday ,Sport
2023-04-04 12:10:55.250,BA,1.0,0.0,1.0,1.0,2,0,1996-08-18,26.0,350.0,0.0,20.0,15.0,26,22:30,Sunshine,Friends 
2023-04-04 12:10:55.713,BA,1.0,0.0,1.0,1.0,1,0,,25.0,550.0,0.0,30.0,10.0,8,23:00,Good weather,Friend
2023-04-04 12:10:55.815,AI,1.0,0.0,1.0,1.0,2,1,1998-12-04,24.0,170.0,0.0,65.0,8.0,69,22:30,Good weather,Walking my dog
2023-04-04 12:10:55.880,CS,1.0,0.0,1.0,1.0,2,0,1999-09-16,23.0,581.0,0.0,100.0,0.0,69,23:00,Having some free time for once,No exam
2023-04-04 12:10:56.095,CS,1.0,1.0,1.0,1.0,1,8,,22.0,400.0,1.0,10.0,6.0,8,1 :00,work done,travelling
2023-04-04 12:10:56.148,CS,1.0,0.0,1.0,1.0,1,1,2000-11-05,22.0,200.0,0.0,100.0,2.0,7,04:00,well fed,well rested
2023-04-04 12:10:56.138,CS,1.0,0.0,1.0,0.0,1,1,1996-10-26,26.0,300.0,0.0,10.0,7.0,936,23:30,Productive ,Coffee
2023-04-04 12:10:56.233,,0.0,0.0,1.0,0.0,2,8,,24.0,365.0,0.0,99.0,0.0,7,23:40,Gossiping,Sleep
2023-04-04 12:10:56.216,BA,1.0,1.0,1.0,1.0,2,1,2001-10-23,21.0,555.0,0.0,66.0,4.0,3,23:00,Lekker eten,Leuke mensen
2023-04-04 12:10:56.301,Comp Sci,1.0,0.0,1.0,0.0,1,0,1999-06-22,23.0,226.0,0.0,5.0,3.0,73837471910183,00:00,Friends,Sun
2023-04-04 12:10:56.633,AI,1.0,1.0,0.0,1.0,1,1,,22.0,280.0,0.0,51.0,3.0,42,23:00,Good sleep,Tasty meal for dinner
2023-04-04 12:10:56.678,AI,1.0,1.0,1.0,0.0,2,1,2000-08-12,22.0,500.0,0.0,40.0,6.0,18,22:00,Friends and food,Nice weather
2023-04-04 12:10:56.745,CS,0.0,0.0,1.0,1.0,1,1,,22.0,338.0,0.0,28.0,6.0,1337,00:30,A nice phish,lots of stress
2023-04-04 12:10:56.970,BA,1.0,0.0,1.0,0.0,2,1,1999-09-15,23.0,175.0,0.0,15.0,8.0,9,00:15,Sun,Good food
2023-04-04 12:10:57.109,CS,1.0,0.0,0.0,0.0,1,1,1997-12-12,25.0,500.0,0.0,5.0,6.0,8,02:00,Morning sex,Cocain
2023-04-04 12:10:57.199,CS,1.0,0.0,1.0,0.0,2,1,2000-09-04,22.0,300.0,0.0,15.0,9.0,56,00:00,warm and sunny,friends
2023-04-04 12:10:57.219,CS,0.0,1.0,1.0,0.0,2,1,,22.0,400.0,0.0,75.0,7.0,3,21:30,Doing yoga,Sunshine 
2023-04-04 12:10:57.559,Info Sci,1.0,1.0,1.0,1.0,1,1,1999-08-23,23.0,250.0,0.0,40.0,3.0,Driehonderd ,23:59,Sun,Music 
2023-04-04 12:10:57.633,Finance,1.0,1.0,1.0,0.0,1,0,1997-08-31,25.0,284.0,0.0,5.0,2.0,6,23:30,Nice weather,Winning at life
2023-04-04 12:10:57.636,AI,1.0,0.0,1.0,1.0,1,1,2000-05-23,22.0,220.0,0.0,5.0,7.0,6,23:30,Beer,Beer(2)
2023-04-04 12:10:57.759,AI,0.0,0.0,1.0,1.0,7,1,1999-11-24,23.0,200.0,0.0,90.0,9.0,pi,,being productive,being relaxed
2023-04-04 12:10:57.746,AI,1.0,0.0,1.0,0.0,2,1,,23.0,222.0,0.0,99.0,2.0,42,03:00,Good weather,No stress
2023-04-04 12:10:58.357,Finance,1.0,0.0,1.0,0.0,2,1,,23.0,453.0,0.0,65.0,4.0,1827,00:00,Well rested ,Exercise
2023-04-04 12:10:58.553,AI,1.0,1.0,1.0,1.0,1,1,1999-09-27,23.0,31.0,1.0,68.0,0.0,90,02:35,Data,Mining
2023-04-04 12:10:58.628,Quantitative Risk Management,0.0,0.0,1.0,0.0,2,1,2000-05-02,22.0,250.0,0.0,70.0,6.0,536,22:00,Seeing friends,No study
2023-04-04 12:10:58.689,CS,0.0,1.0,1.0,1.0,1,1,,24.0,300.0,0.0,50.0,1.0,8,00:00,Money,Sleeping
2023-04-04 12:10:59.587,CS,0.0,0.0,1.0,0.0,2,1,1998-04-03,25.0,487.0,0.0,9.0,11.0,4,23:00,Coffee,Sun
2023-04-04 12:10:59.856,BA,1.0,1.0,1.0,1.0,2,1,,25.0,300.0,0.0,50.0,4.0,7,23:15,The sun shining ,Friends
2023-04-04 12:10:59.873,AI,1.0,0.0,1.0,1.0,2,1,1997-09-10,25.0,400.0,0.0,70.0,10.0,9997655,22:50,Sun,Friends
2023-04-04 12:10:59.872,Comp Sci,1.0,0.0,1.0,1.0,2,1,,24.0,550.0,0.0,70.0,3.0,7,1 :20,nice weather,good news
2023-04-04 12:10:59.923,AI,0.0,0.0,1.0,0.0,2,1,2000-06-08,22.0,250.0,0.0,86.0,6.0,7,23:15,Oatmeal,Sex
2023-04-04 12:11:00.149,Finance,1.0,0.0,1.0,0.0,1,8,1997-02-12,26.0,187.0,0.0,85.0,0.0,3840,1 :00,Having a good meal,Going on a nice walk with my dog
2023-04-04 12:11:00.768,,0.0,0.0,1.0,0.0,1,1,,25.0,236.0,0.0,99.0,6.0,77266200376655155388366366655583,22:00,Preheating a sausage roll ,
2023-04-04 12:11:01.426,Finance,1.0,0.0,1.0,0.0,1,1,1998-04-30,24.0,450.0,0.0,69.0,8.0,28,23:30,Good food,Sleep 
2023-04-04 12:11:01.622,AI,1.0,0.0,1.0,1.0,2,1,,24.0,229.0,0.0,100.0,1.0,9,00:30,Good breakfast,Good sleep
2023-04-04 12:11:01.623,CS,1.0,0.0,1.0,0.0,2,1,1997-04-17,25.0,300.0,0.0,68.0,1.0,76,03:00,Nice weather,Wake up early
2023-04-04 12:11:02.210,AI,0.0,0.0,1.0,1.0,2,1,1999-06-14,23.0,100.0,0.0,10.0,1.0,99,23:00,The sun,Good food
2023-04-04 12:11:02.574,AI,1.0,0.0,1.0,1.0,1,0,1997-05-30,25.0,420.0,0.0,30.0,6.0,9,00:25,Good food,Sunshine
2023-04-04 12:11:02.676,AI,1.0,0.0,1.0,0.0,2,1,1997-08-06,25.0,230.0,0.0,43.0,5.0,37,00:20,Nice breakfast,Sun shining
2023-04-04 12:11:02.857,AI,1.0,1.0,1.0,0.0,7,1,1999-05-06,23.0,350.0,0.0,1.0,10.0,2645738475736375389,01:00,sun and free time,food
2023-04-04 12:11:03.380,BA,1.0,0.0,1.0,0.0,1,1,2000-03-04,23.0,350.0,0.0,22.0,7.0,58,23:30,Nice weather ,Gym  
2023-04-04 12:11:03.441,AI,1.0,0.0,1.0,0.0,1,8,,24.0,427.0,0.0,62.0,5.0,27922261,02:00,Socializing,Activities
2023-04-04 12:11:04.216,Exchange,1.0,0.0,1.0,0.0,2,1,,24.0,456.0,0.0,99.0,7.0,7,23:59,good food,new friends
2023-04-04 12:11:04.200,CS,1.0,1.0,1.0,0.0,1,8,1997-08-11,25.0,350.0,0.0,60.0,8.0,3.14,00:30,sleeping out,making music
2023-04-04 12:11:04.323,CS,1.0,1.0,1.0,1.0,4,0,1999-11-06,23.0,250.0,0.0,40.0,5.0,21,23:45,Nice weather,Good deed done
2023-04-04 12:11:04.533,BA,1.0,1.0,1.0,1.0,2,1,,22.0,900.0,0.0,100.0,0.0,3,22:30,Fun,Bier
2023-04-04 12:11:04.746,Comp Sci,1.0,0.0,1.0,0.0,1,1,2000-05-19,22.0,300.0,0.0,10.0,8.0,948467618289167649818181849739491,22:00,Being active,Getting a good night's sleep 
2023-04-04 12:11:04.760,,1.0,0.0,1.0,0.0,1,1,2000-08-14,22.0,275.0,0.0,30.0,6.0,42,01:00,Having a good chat with friends ,Food and drinks
2023-04-04 12:11:05.228,AI,1.0,0.0,1.0,1.0,1,0,1997-02-05,26.0,376.0,0.0,60.0,10.0,6721,22:16,Time to read,A good lunch
2023-04-04 12:11:05.468,CS,0.0,0.0,0.0,0.0,1,1,1994-07-14,28.0,394.0,0.0,67.0,5.0,7,00:00,Clear Skies,Sunny days
2023-04-04 12:11:05.552,AI,1.0,0.0,0.0,1.0,2,0,1985-04-23,37.0,413.0,0.0,74.0,5.0,623,21:53,sunshine,cake
2023-04-04 12:11:05.889,Comp Sci,0.0,1.0,1.0,0.0,2,1,1997-09-30,25.0,325.0,0.0,45.0,3.0,72,2 :00,Arts & Crafts,Good Music
2023-04-04 12:11:06.008,AI,1.0,0.0,1.0,0.0,1,1,1997-12-22,25.0,543.0,0.0,15.0,6.0,158295726,00:30,The sun,Free time
2023-04-04 12:11:06.008,CS,1.0,0.0,0.0,1.0,1,8,1999-03-13,24.0,150.0,0.0,80.0,5.0,88,2 :30,video game,video game
2023-04-04 12:11:06.214,CS,1.0,0.0,1.0,1.0,1,0,1998-05-11,24.0,600.0,0.0,65.0,4.0,69,,Little stress,Having fun
2023-04-04 12:11:06.214,AI,0.0,1.0,1.0,1.0,2,1,1999-04-25,23.0,380.0,0.0,52.0,10.0,4,01:00,Did sports ,Being productive in some way 
2023-04-04 12:11:06.336,CS,0.0,0.0,1.0,1.0,2,1,1999-05-25,23.0,280.0,0.0,40.0,6.0,68,23:00,Sun,Being free
2023-04-04 12:11:06.622,AI,1.0,0.0,1.0,1.0,1,1,1999-12-05,23.0,350.0,0.0,20.0,1.0,4,02:00,Progress,Learning
2023-04-04 12:11:06.748,Finance,1.0,0.0,1.0,0.0,1,0,1999-01-20,24.0,400.0,0.0,15.0,8.0,1,22:30,Sport,Drinks
2023-04-04 12:11:06.912,CS,1.0,0.0,0.0,0.0,1,8,,23.0,450.0,0.0,23.0,10.0,23,1 :00,Sleeping in,Being duty-free
2023-04-04 12:11:06.951,Bio Sci,0.0,0.0,1.0,0.0,1,0,2001-01-15,22.0,400.0,0.0,20.0,6.0,8,23:00,Good sleep,Good meal
2023-04-04 12:11:07.468,Policy Analysis,0.0,0.0,1.0,0.0,2,0,,26.0,456.0,0.0,85.0,3.0,3,23:30,"Sun, coffee, friends","Good sleep, no stress, laughter"
2023-04-04 12:11:07.970,AI,1.0,0.0,1.0,1.0,2,1,1992-08-11,30.0,575.0,0.0,99.0,10.0,7,00:22,enough sleep,sun
2023-04-04 12:11:08.155,Comp Sci,0.0,0.0,1.0,1.0,1,1,,32.0,300.0,0.0,50.0,5.0,4793374949,00:00,Good sleep,Good food and beer with friends 
2023-04-04 12:11:08.480,CS,0.0,1.0,0.0,1.0,1,0,1987-04-25,35.0,200.0,0.0,0.0,4.0,59,00:00,Lekker eten en slapen,Goed slaap
2023-04-04 12:11:08.480,QRM,1.0,0.0,0.0,0.0,2,1,2001-08-08,21.0,350.0,0.0,95.0,4.0,8,23:30,Sport,Study success
2023-04-04 12:11:09.374,AI,1.0,1.0,1.0,1.0,1,1,1997-01-17,26.0,287.0,0.0,6.0,4.0,7,02:45,Mood,Circumstances
2023-04-04 12:11:09.871,AI,1.0,1.0,1.0,0.0,1,1,,25.0,400.0,0.0,10.0,8.0,63,00:30,The sun shining,Having worked out in the morning
2023-04-04 12:11:09.962,AI,1.0,1.0,1.0,0.0,2,1,,25.0,400.0,0.0,10.0,3.0,6,23:00,Sunshine,Friends
2023-04-04 12:11:10.549,BA,1.0,0.0,1.0,1.0,2,1,1998-11-15,24.0,400.0,0.0,70.0,3.0,6,00:00,Good food,No deadlines
2023-04-04 12:11:10.884,AI,1.0,1.0,1.0,1.0,1,0,,23.0,180.0,0.0,0.0,8.0,29,00:00,fixed bugs in the code,not able to fix bugs in the code
2023-04-04 12:11:10.945,AI,0.0,0.0,1.0,0.0,1,1,2001-03-10,22.0,283.0,0.0,8.0,9.0,42,23:00,Training,Winning
2023-04-04 12:11:11.562,CS,1.0,0.0,1.0,0.0,2,1,,23.0,350.0,0.0,50.0,3.0,33,23:30,Prayer,Loved ones
2023-04-04 12:11:11.785,CS,0.0,0.0,1.0,0.0,1,1,1999-01-15,24.0,400.0,0.0,25.0,10.0,420,23:00,"Friends, sport, using my brain, helping someone",Sex
2023-04-04 12:11:11.875,Comp Sci,0.0,1.0,1.0,0.0,2,1,1999-10-07,23.0,450.0,0.0,10.0,4.0,5,02:00,Good sleep ,Painting
2023-04-04 12:11:12.105,BA,1.0,1.0,1.0,1.0,1,1,1995-07-07,27.0,400.0,0.0,30.0,6.0,73,00:00,Sport,Sunny walk
2023-04-04 12:11:12.138,AI,1.0,0.0,1.0,1.0,1,1,,24.0,400.0,0.0,10.0,10.0,2,23:00,Good weather,Doing sports
2023-04-04 12:11:12.568,BA,1.0,1.0,1.0,1.0,2,1,2000-09-11,22.0,500.0,0.0,90.0,3.0,12,00:30,Coffee,Sunshine
2023-04-04 12:11:12.586,BA,1.0,1.0,1.0,1.0,1,0,2000-07-09,22.0,400.0,0.0,90.0,4.0,420,23:30,Fun activities for work/school,Enough sleep
2023-04-04 12:11:12.657,BA,1.0,1.0,1.0,1.0,1,1,,22.0,334.0,0.0,80.0,20.0,4,21:00,Start with a training on the water (rowing),Getting 8 hours of sleep
2023-04-04 12:11:13.339,CS,1.0,0.0,1.0,0.0,7,0,2001-01-10,22.0,657.0,0.0,40.0,0.0,83635367383883939383726242,23:58,air,ideas
2023-04-04 12:11:13.398,CLS,1.0,0.0,1.0,0.0,1,0,1999-12-21,23.0,348.0,0.0,0.0,15.0,5,23:00,Exercise ,Reading
2023-04-04 12:11:13.650,AI,0.0,0.0,1.0,1.0,2,0,1999-12-23,23.0,350.0,0.0,20.0,7.0,23,00:30,Doing everything from my ToDo list,Taking a walk
2023-04-04 12:11:14.301,AI,1.0,0.0,1.0,0.0,2,1,1999-11-06,23.0,400.0,0.0,26.0,5.0,53645936,00:30,Relaxing,Meeting friends
2023-04-04 12:11:14.720,AI,1.0,0.0,1.0,1.0,1,1,1990-01-01,33.0,500.0,0.0,50.0,5.0,314159,23: 5,Sun,Productivity
2023-04-04 12:11:14.758,Comp Sci,0.0,0.0,1.0,0.0,1,1,1998-08-02,24.0,189.0,0.0,75.0,10.0,7362562722,00:26,Sleep,Weather
2023-04-04 12:11:15.588,AI,1.0,1.0,1.0,1.0,2,1,2000-05-03,22.0,520.0,0.0,20.0,2.0,67,23:00,Good food,Good sleep
2023-04-04 12:11:15.654,CS,1.0,0.0,0.0,0.0,2,1,1999-06-16,23.0,500.0,1.0,99.0,2.0,6,23: 1,nothing happens,sunny days
2023-04-04 12:11:16.048,CS,0.0,1.0,1.0,1.0,2,0,2000-12-14,22.0,400.0,0.0,65.0,4.0,4,01:00,Sunny day,Sushi
2023-04-04 12:11:15.646,CS,1.0,1.0,1.0,1.0,2,8,2000-03-21,23.0,300.0,0.0,20.0,6.0,3,00:00,sun,holiday
