Tijdstempel,programme,course_ML,course_retrieval,course_statistics,course_databases,gender,ChatGPT,birthday,age,students_in_room,prev_answer_stand,stress_level,sports_per_week,random_number,bed_time,good_day_(1),good_day_(2)
2023-04-04 12:10:53.123,AI,0,0,1,0,2,1,,,300,0,50,1,99,23:30:00,Nice weather,Nice meal and coffee
2023-04-04 12:10:53.326,CS,1,1,1,1,1,1,2001-07-08,21.0,100,0,40,7,6,00:30:00,Good food ,Sun
2023-04-04 12:10:53.723,AI,1,0,1,1,2,0,1997-06-17,25.0,285,0,NaN,0,65435798764476555,23:00:00,No lecture,Sun
2023-04-04 12:10:54.804,AI,0,0,1,1,1,0,,,400,0,5,10,7556544,23:30:00,Holiday ,Sport
2023-04-04 12:10:55.250,BA,1,0,1,1,2,0,1996-08-18,26.0,350,0,20,15,26,22:30:00,Sunshine,Friends 
2023-04-04 12:10:55.713,BA,1,0,1,1,1,0,,,550,0,30,10,8,23:00:00,Good weather,Friend
2023-04-04 12:10:55.815,AI,1,0,1,1,2,1,1998-12-04,24.0,170,0,65,8,69,22:30:00,Good weather,Walking my dog
2023-04-04 12:10:55.880,CS,1,0,1,1,2,0,1999-09-16,23.0,581,0,100,0,69,23:00:00,Having some free time for once,No exam
2023-04-04 12:10:56.095,CS,1,1,1,1,1,8,,,400,1,10,6,8,01:00:00,work done,travelling
2023-04-04 12:10:56.148,CS,1,0,1,1,1,1,2000-11-05,22.0,200,0,100,2,7,04:00:00,well fed,well rested
2023-04-04 12:10:56.138,CS,1,0,1,0,1,1,1996-10-26,26.0,300,0,10,7,936,23:30:00,Productive ,Coffee
2023-04-04 12:10:56.233,NaN,0,0,1,0,2,8,,,365,0,99,0,7,23:40:00,Gossiping,Sleep
2023-04-04 12:10:56.216,BA,1,1,1,1,2,1,2001-10-23,21.0,555,0,66,4,3,23:00:00,Lekker eten,Leuke mensen
2023-04-04 12:10:56.301,Comp Sci,1,0,1,0,1,0,1999-06-22,23.0,226,0,5,3,73837471910183,00:00:00,Friends,Sun
2023-04-04 12:10:56.633,AI,1,1,0,1,1,1,,,280,0,51,3,42,23:00:00,Good sleep,Tasty meal for dinner
2023-04-04 12:10:56.678,AI,1,1,1,0,2,1,2000-08-12,22.0,500,0,40,6,18,22:00:00,Friends and food,Nice weather
2023-04-04 12:10:56.745,CS,0,0,1,1,1,1,,,NaN,0,NaN,6,1337,00:30:00,A nice phish,lots of stress
2023-04-04 12:10:56.970,BA,1,0,1,0,2,1,1999-09-15,23.0,175,0,15,8,9,00:15:00,Sun,Good food
2023-04-04 12:10:57.109,CS,1,0,0,0,1,1,1997-12-12,25.0,500,0,5,6,8,02:00:00,Morning sex,Cocain
2023-04-04 12:10:57.199,CS,1,0,1,0,2,1,2000-09-04,22.0,300,0,15,9,56,00:00:00,warm and sunny,friends
2023-04-04 12:10:57.219,CS,0,1,1,0,2,1,,,400,0,75,7,3,21:30:00,Doing yoga,Sunshine 
2023-04-04 12:10:57.559,Info Sci,1,1,NaN,1,1,1,1999-08-23,23.0,250,0,40,3,Driehonderd ,23:59:00,Sun,Music 
2023-04-04 12:10:57.633,Finance,1,1,1,0,1,0,1997-08-31,25.0,284,0,5,2,6,23:30:00,Nice weather,Winning at life
2023-04-04 12:10:57.636,AI,1,0,1,1,1,1,2000-05-23,22.0,220,0,5,7,6,23:30:00,Beer,Beer(2)
2023-04-04 12:10:57.759,AI,0,0,1,1,7,1,1999-11-24,23.0,200,0,90,9,pi,,being productive,being relaxed
2023-04-04 12:10:57.746,AI,1,0,1,0,2,1,,,222,0,99,2,42,03:00:00,Good weather,No stress
2023-04-04 12:10:58.357,Finance,1,0,1,0,2,1,,,453,0,65,4,1827,00:00:00,Well rested ,Exercise
2023-04-04 12:10:58.553,AI,1,1,1,1,1,1,1999-09-27,23.0,31,1,NaN,0,90,02:35:00,Data,Mining
2023-04-04 12:10:58.628,QRM,0,0,1,0,2,1,2000-05-02,22.0,250,0,70,6,536,22:00:00,Seeing friends,No study
2023-04-04 12:10:58.689,CS,0,1,1,1,1,1,,,300,0,50,1,8,00:00:00,Money,Sleeping
2023-04-04 12:10:59.587,CS,0,0,1,0,2,1,1998-04-03,25.0,487,0,9,11,4,23:00:00,Coffee,Sun
2023-04-04 12:10:59.856,BA,1,1,1,1,2,1,,,300,0,50,4,7,23:15:00,The sun shining ,Friends
2023-04-04 12:10:59.873,AI,1,NaN,NaN,1,2,1,1997-09-10,25.0,400,0,70,10,9997655,22:50:00,Sun,Friends
2023-04-04 12:10:59.872,Comp Sci,1,0,1,1,2,1,,,550,0,70,3,7,01:20:00,nice weather,good news
2023-04-04 12:10:59.923,AI,0,0,1,0,2,1,2000-06-08,22.0,250,0,86,6,7,23:15:00,Oatmeal,Sex
2023-04-04 12:11:00.149,Finance,1,0,1,0,1,8,1997-02-12,26.0,187,0,85,0,3840,01:00:00,Having a good meal,Going on a nice walk with my dog
2023-04-04 12:11:00.768,NaN,0,0,1,0,1,1,,,236,0,99,6,77266200376655155388366366655583,22:00:00,Preheating a sausage roll ,
2023-04-04 12:11:01.426,Finance,1,0,1,0,1,1,1998-04-30,24.0,450,0,69,8,28,23:30:00,Good food,Sleep 
2023-04-04 12:11:01.622,AI,1,0,1,1,2,1,,,229,0,100,1,9,00:30:00,Good breakfast,Good sleep
2023-04-04 12:11:01.623,CS,1,0,1,0,2,1,1997-04-17,25.0,300,0,68,1,76,03:00:00,Nice weather,Wake up early
2023-04-04 12:11:02.210,AI,0,0,1,1,2,1,1999-06-14,23.0,100,0,10,1,99,23:00:00,The sun,Good food
2023-04-04 12:11:02.574,AI,1,0,1,1,1,0,1997-05-30,25.0,420,0,30,6,9,00:25:00,Good food,Sunshine
2023-04-04 12:11:02.676,AI,1,0,1,0,2,1,1997-08-06,25.0,230,0,43,5,37,00:20:00,Nice breakfast,Sun shining
2023-04-04 12:11:02.857,AI,1,1,1,0,7,1,1999-05-06,23.0,350,0,1,10,2645738475736375389,01:00:00,sun and free time,food
2023-04-04 12:11:03.380,BA,1,0,1,0,1,1,2000-03-04,23.0,350,0,22,7,58,23:30:00,Nice weather ,Gym  
2023-04-04 12:11:03.441,AI,1,0,1,0,1,8,,,427,0,62,5,27922261,02:00:00,Socializing,Activities
2023-04-04 12:11:04.216,Exch,1,0,NaN,0,2,1,,,456,0,99,7,7,23:59:00,good food,new friends
2023-04-04 12:11:04.200,CS,1,1,1,0,1,8,1997-08-11,25.0,350,0,60,8,3.14,00:30:00,sleeping out,making music
2023-04-04 12:11:04.323,CS,1,NaN,1,1,4,0,1999-11-06,23.0,250,0,40,5,21,23:45:00,Nice weather,Good deed done
2023-04-04 12:11:04.533,BA,1,1,1,1,2,1,,,900,NaN,100,0,3,22:30:00,Fun,Bier
2023-04-04 12:11:04.746,Comp Sci,1,0,1,0,1,1,2000-05-19,22.0,300,0,10,8,948467618289167649818181849739491,22:00:00,Being active,Getting a good night's sleep 
2023-04-04 12:11:04.760,NaN,1,0,1,0,1,1,2000-08-14,22.0,275,0,30,6,42,01:00:00,Having a good chat with friends ,Food and drinks
2023-04-04 12:11:05.228,AI,1,0,1,1,1,0,1997-02-05,26.0,376,0,60,10,6721,22:16:00,Time to read,A good lunch
2023-04-04 12:11:05.468,CS,0,0,0,0,1,1,1994-07-14,28.0,NaN,0,NaN,5,7,00:00:00,Clear Skies,Sunny days
2023-04-04 12:11:05.552,AI,1,0,0,1,2,0,1985-04-23,37.0,413,0,74,5,623,21:53:00,sunshine,cake
2023-04-04 12:11:05.889,Comp Sci,0,1,1,0,2,1,1997-09-30,25.0,325,0,45,3,72,02:00:00,Arts & Crafts,Good Music
2023-04-04 12:11:06.008,AI,1,0,1,0,1,1,1997-12-22,25.0,543,0,15,6,158295726,00:30:00,The sun,Free time
2023-04-04 12:11:06.008,CS,1,0,0,1,1,8,1999-03-13,24.0,150,0,80,5,88,02:30:00,video game,video game
2023-04-04 12:11:06.214,CS,1,0,1,1,1,0,1998-05-11,24.0,600,0,65,4,69,,Little stress,Having fun
2023-04-04 12:11:06.214,AI,0,1,1,1,2,1,1999-04-25,23.0,380,0,NaN,10,4,01:00:00,Did sports ,Being productive in some way 
2023-04-04 12:11:06.336,CS,0,0,1,1,2,1,1999-05-25,23.0,280,0,40,6,68,23:00:00,Sun,Being free
2023-04-04 12:11:06.622,AI,1,0,1,1,1,1,1999-12-05,23.0,350,0,20,1,4,02:00:00,Progress,Learning
2023-04-04 12:11:06.748,Finance,1,0,1,0,1,0,1999-01-20,24.0,400,0,15,8,1,22:30:00,Sport,Drinks
2023-04-04 12:11:06.912,CS,1,0,0,0,1,8,,,450,0,23,10,23,01:00:00,Sleeping in,Being duty-free
2023-04-04 12:11:06.951,Bio Sci,0,0,1,0,1,0,2001-01-15,22.0,400,0,20,6,8,23:00:00,Good sleep,Good meal
2023-04-04 12:11:07.468,P Analysis,0,0,1,0,2,0,,,456,0,85,3,3,23:30:00,"Sun, coffee, friends","Good sleep, no stress, laughter"
2023-04-04 12:11:07.970,AI,1,0,1,1,2,1,1992-08-11,30.0,575,0,99,10,7,00:22:00,enough sleep,sun
2023-04-04 12:11:08.155,Comp Sci,NaN,0,1,1,1,1,,,300,0,50,5,4793374949,00:00:00,Good sleep,Good food and beer with friends 
2023-04-04 12:11:08.480,CS,0,1,0,1,1,0,1987-04-25,35.0,200,0,0,4,59,00:00:00,Lekker eten en slapen,Goed slaap
2023-04-04 12:11:08.480,QRM,1,0,0,0,2,1,2001-08-08,21.0,350,0,95,4,8,23:30:00,Sport,Study success
2023-04-04 12:11:09.374,AI,1,1,1,1,1,1,1997-01-17,26.0,287,0,6,4,7,02:45:00,Mood,Circumstances
2023-04-04 12:11:09.871,AI,1,1,1,0,1,1,,,400,0,10,8,63,00:30:00,The sun shining,Having worked out in the morning
2023-04-04 12:11:09.962,AI,1,1,1,0,2,1,,,400,0,10,3,6,23:00:00,Sunshine,Friends
2023-04-04 12:11:10.549,BA,1,0,1,1,2,1,1998-11-15,24.0,400,0,70,3,6,00:00:00,Good food,No deadlines
2023-04-04 12:11:10.884,AI,1,1,NaN,1,1,0,,,180,0,0,8,29,00:00:00,fixed bugs in the code,not able to fix bugs in the code
2023-04-04 12:11:10.945,AI,0,0,1,0,1,1,2001-03-10,22.0,283,0,8,9,42,23:00:00,Training,Winning
2023-04-04 12:11:11.562,CS,1,0,1,0,2,1,,,350,0,50,3,33,23:30:00,Prayer,Loved ones
2023-04-04 12:11:11.785,CS,0,0,1,0,1,1,1999-01-15,24.0,400,0,25,10,420,23:00:00,"Friends, sport, using my brain, helping someone",Sex
2023-04-04 12:11:11.875,Comp Sci,0,1,1,0,2,1,1999-10-07,23.0,450,0,10,4,5,02:00:00,Good sleep ,Painting
2023-04-04 12:11:12.105,BA,1,1,1,1,1,1,1995-07-07,27.0,400,0,30,6,73,00:00:00,Sport,Sunny walk
2023-04-04 12:11:12.138,AI,1,0,1,1,1,1,,,400,0,10,10,2,23:00:00,Good weather,Doing sports
2023-04-04 12:11:12.568,BA,1,1,1,1,2,1,2000-09-11,22.0,500,0,90,3,12,00:30:00,Coffee,Sunshine
2023-04-04 12:11:12.586,BA,1,1,1,1,1,0,2000-07-09,22.0,400,0,90,4,420,23:30:00,Fun activities for work/school,Enough sleep
2023-04-04 12:11:12.657,BA,1,1,1,1,1,1,,,334,0,80,20,4,21:00:00,Start with a training on the water (rowing),Getting 8 hours of sleep
2023-04-04 12:11:13.339,CS,1,NaN,1,0,7,0,2001-01-10,22.0,657,0,NaN,0,83635367383883939383726242,23:58:00,air,ideas
2023-04-04 12:11:13.398,CLS,1,0,1,0,1,0,1999-12-21,23.0,348,0,0,15,5,23:00:00,Exercise ,Reading
2023-04-04 12:11:13.650,AI,0,0,1,1,2,0,1999-12-23,23.0,350,0,20,7,23,00:30:00,Doing everything from my ToDo list,Taking a walk
2023-04-04 12:11:14.301,AI,1,0,1,0,2,1,1999-11-06,23.0,400,0,26,5,53645936,00:30:00,Relaxing,Meeting friends
2023-04-04 12:11:14.720,AI,1,0,1,1,1,1,1990-01-01,33.0,500,0,NaN,5,314159,23:05:00,Sun,Productivity
2023-04-04 12:11:14.758,Comp Sci,0,0,1,0,1,1,1998-08-02,24.0,189,0,75,10,7362562722,00:26:00,Sleep,Weather
2023-04-04 12:11:15.588,AI,1,1,1,1,2,1,2000-05-03,22.0,520,0,20,2,67,23:00:00,Good food,Good sleep
2023-04-04 12:11:15.654,CS,1,0,0,0,2,1,1999-06-16,23.0,500,1,99,2,6,23:01:00,nothing happens,sunny days
2023-04-04 12:11:16.048,CS,0,1,1,1,2,0,2000-12-14,22.0,400,0,65,4,4,01:00:00,Sunny day,Sushi
2023-04-04 12:11:15.646,CS,1,1,NaN,1,2,8,2000-03-21,23.0,300,0,20,6,3,00:00:00,sun,holiday
2023-04-04 12:11:16.490,CS,1,NaN,1,1,1,0,1998-03-23,25.0,477,0,45,4,3,00:30:00,Getting all my things done ,Winning a lottery
2023-04-04 12:11:16.635,CS,1,0,1,1,2,1,,,350,1,7,7,7,02:00:00,music,alcohol
2023-04-04 12:11:17.060,CS,0,0,1,0,2,0,1997-11-23,25.0,250,0,50,1,73,02:00:00,Being productive,Quality time with friends
2023-04-04 12:11:17.767,Comp Sci,1,0,1,1,1,1,2000-11-18,22.0,450,0,60,15,27,00:00:00,Doing an activity or sports,When I do not need to do anything for school
2023-04-04 12:11:18.265,CS,1,0,1,1,1,8,1998-05-08,24.0,450,0,60,10,3,23:00:00,Good weather,Progress in study
2023-04-04 12:11:18.354,Digi Bus,1,0,1,1,1,1,1998-01-05,25.0,200,0,20,7,7,21:00:00,Having time to workout,"Having nice, sunny weather"
2023-04-04 12:11:18.448,AI,1,0,1,1,1,1,1998-03-09,25.0,250,0,70,7,9,02:00:00,Sleep,Travel
2023-04-04 12:11:18.520,CS,1,0,0,0,2,1,,,400,1,NaN,0,9,00:30:00,good food,excellent people
2023-04-04 12:11:18.679,CS,1,0,1,1,2,1,2000-11-29,22.0,200,0,99,1,666,02:00:00,Sunny day,No class
2023-04-04 12:11:18.726,CS,0,0,0,0,1,1,,,300,0,100,7,7,01:00:00,a nice weather,a nice meal
2023-04-04 12:11:18.936,AI,1,0,1,1,2,0,1998-03-31,25.0,450,0,5,6,3,01:00:00,waking up early and working out,sunny and warm weather 
2023-04-04 12:11:19.101,QRM,0,0,1,0,2,0,2001-05-10,21.0,451,0,90,2,8,00:30:00,No 9 AM lecture,Food
2023-04-04 12:11:20.371,CS,0,0,1,0,1,8,,,420,0,100,3,20,22:30:00,Good grade,Learning on Machine Learning
2023-04-04 12:11:20.494,CS,1,1,0,1,1,8,,,438,NaN,100,1,0,,Idk never had any,Like I said
2023-04-04 12:11:20.540,CS,0,0,1,0,1,1,1995-05-01,27.0,500,0,60,5,7,00:30:00,Sleep-in,Sunshine
2023-04-04 12:11:20.897,BA,1,NaN,1,1,4,1,1999-06-20,23.0,200,0,30,3,6,00:00:00,Sleeping well,enough credits
2023-04-04 12:11:21.100,CS,1,0,1,1,1,0,,,250,0,85,5,420,23:50:00,Avocado Toast,winning at chess
2023-04-04 12:11:21.129,BA,1,1,1,1,2,1,2001-10-10,21.0,350,0,60,2,55,23:30:00,Sunshine,Good food
2023-04-04 12:11:21.240,BA,1,NaN,1,1,2,1,1999-08-18,23.0,250,0,73,0,73,23:00:00,Wake up feeling rested,Hugs
2023-04-04 12:11:21.494,AI,0,0,1,1,2,1,2000-06-29,22.0,200,0,5,8,1,23:30:00,Cold dip in open water,Pizza
2023-04-04 12:11:21.678,CS,1,0,0,0,1,1,1999-09-11,23.0,230,0,5,0,333,02:00:00,Free time to do whatever I want!,Nice food and good stuff to watch 
2023-04-04 12:11:22.007,CS,0,0,1,0,1,1,2000-11-18,22.0,250,0,25,4,18364,22:30:00,Time off,Outside
2023-04-04 12:11:22.106,BA,1,0,1,1,1,1,1999-09-21,23.0,300,0,5,10,46372726,23:00:00,Fun activities,Good weather
2023-04-04 12:11:22.184,AI,1,0,1,1,5,8,,,800,0,100,8,726361918372611819732618191817,02:00:00,Getting paid,Eating
2023-04-04 12:11:22.727,CS,0,0,NaN,1,7,8,1990-11-20,32.0,400,1,50,8,2022222,01:00:00,weather,food
2023-04-04 12:11:23.310,NaN,0,0,1,0,1,1,,,NaN,0,NaN,21,99,,When people gimme foody,Going SSJ
2023-04-04 12:11:23.377,AI,0,0,1,0,5,8,1995-04-23,27.0,266,0,11,10,237948422,01:00:00,Sex,Sports
2023-04-04 12:11:23.870,CS,0,0,1,1,1,0,1999-08-12,23.0,380,0,40,4,17,00:00:00,Getting things done,Good weather
2023-04-04 12:11:24.240,CS,0,0,1,0,1,0,,,400,0,5,10,5,23:50:00,Going to the gym,Having a sufficient amount of sleep
2023-04-04 12:11:24.324,CS,1,0,1,0,1,1,,,643,0,69,7,69,01:00:00,Sun,Not being in the Netherlands
2023-04-04 12:11:24.626,AI,1,1,1,1,1,8,1999-03-12,24.0,581,0,39,1,13,02:01:00,Food,Productivity
2023-04-04 12:11:24.976,AI,1,1,1,1,2,8,1999-08-24,23.0,250,0,50,2,24,00:40:00,Good weather,Hanging out with friends 
2023-04-04 12:11:25.298,AI,1,NaN,1,1,2,0,2001-09-14,21.0,458,0,68,6,17,23:59:00,sunshine,books
2023-04-04 12:11:25.724,BA,1,0,1,0,2,1,2000-05-19,22.0,588,0,80,1,8,22:00:00,Weather,Friends 
2023-04-04 12:11:25.921,CS,0,1,1,0,2,1,,,400,0,70,5,119,01:30:00,Sun shining,Good food
2023-04-04 12:11:26.262,CS,1,NaN,0,1,2,1,1998-09-20,24.0,400,0,70,2,45,02:00:00,Spending time with someone I love,Good food
2023-04-04 12:11:26.245,AI,1,0,1,0,2,0,1996-10-28,26.0,410,0,40,0,9,02:00:00,Feeling energetic,Not worrying
2023-04-04 12:11:26.387,CS,1,1,1,1,2,1,2000-11-25,22.0,300,0,100,0,886,01:50:00,good weather,interesting data mining course
